user_id,cutoff_time,label,days_to_churn,churn_date
41652,2018-05-01,1.0,38.0,2018-06-08
71336,2018-09-01,1.0,43.0,2018-10-14
78892,2018-06-01,1.0,48.00000000000001,2018-07-19
261767,2018-05-01,1.0,49.0,2018-06-19
261767,2019-04-01,1.0,44.00000000000001,2019-05-15
274625,2018-06-01,1.0,40.0,2018-07-11
278302,2019-01-01,1.0,54.0,2019-02-24
320878,2018-09-01,1.0,35.0,2018-10-06
320878,2019-03-01,1.0,54.0,2019-04-24
578065,2018-06-01,1.0,56.0,2018-07-27
918616,2018-01-01,1.0,51.0,2018-02-21
918616,2019-03-01,1.0,31.0,2019-04-01
918616,2019-06-01,1.0,54.0,2019-07-25
1375841,2018-11-01,1.0,31.0,2018-12-02
1423946,2019-02-01,1.0,46.00000000000001,2019-03-19
1429242,2018-07-01,1.0,52.0,2018-08-22
1538499,2019-01-01,1.0,42.0,2019-02-12
1648675,2018-06-01,1.0,55.0,2018-07-26
1821021,2019-01-01,1.0,31.0,2019-02-01
1821021,2019-09-01,1.0,41.0,2019-10-12
1870144,2018-07-01,1.0,42.0,2018-08-12
1993152,2019-03-01,1.0,55.0,2019-04-25
2011748,2019-11-01,1.0,31.0,2019-12-02
2104597,2019-07-01,1.0,42.0,2019-08-12
2142933,2018-04-01,1.0,54.0,2018-05-25
2164989,2018-08-01,1.0,51.0,2018-09-21
2231989,2018-08-01,1.0,50.0,2018-09-20
2231989,2019-08-01,1.0,56.0,2019-09-26
2601579,2018-02-01,1.0,46.00000000000001,2018-03-19
2601579,2018-07-01,1.0,54.0,2018-08-24
2653748,2018-10-01,1.0,42.0,2018-11-12
2767664,2018-06-01,1.0,43.0,2018-07-14
2767664,2019-01-01,1.0,31.0,2019-02-01
3088139,2018-10-01,1.0,56.0,2018-11-26
3285346,2018-07-01,1.0,52.0,2018-08-22
3285346,2018-12-01,1.0,41.0,2019-01-11
3286344,2018-09-01,1.0,58.0,2018-10-29
3286344,2019-06-01,1.0,45.00000000000001,2019-07-16
3393813,2018-05-01,1.0,51.0,2018-06-21
3393813,2018-10-01,1.0,42.0,2018-11-12
3481156,2018-08-01,1.0,43.0,2018-09-13
3481156,2019-03-01,1.0,31.0,2019-04-01
3481156,2019-07-01,1.0,35.0,2019-08-05
3481156,2019-09-01,1.0,47.00000000000001,2019-10-18
3727835,2019-09-01,1.0,39.0,2019-10-10
4102418,2018-12-01,1.0,51.0,2019-01-21
4102418,2019-11-01,1.0,31.0,2019-12-02
4111131,2018-04-01,1.0,54.0,2018-05-25
4123340,2018-09-01,1.0,50.0,2018-10-21
