user_id,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
27115917,33,30,149,149,1,11/30/2018,12/31/2018,0
21802540,30,30,100,100,1,2/4/2020,3/6/2020,0
413114768,39,30,149,149,1,8/31/2018,10/27/2018,0
106588942,41,30,149,149,1,6/1/2019,7/2/2019,0
264933649,41,30,149,149,1,2/12/2020,3/12/2020,0
474070323,38,30,149,149,0,10/14/2018,11/13/2018,0
44741426,38,30,149,149,0,3/11/2019,4/10/2019,0
14908,38,30,149,149,0,2/4/2019,3/5/2019,0
49399632,41,30,99,99,1,11/19/2019,12/19/2019,0
135694984,39,30,149,149,1,12/31/2019,2/13/2020,0
216519587,41,30,99,99,1,6/7/2019,7/7/2019,0
92625658,41,30,99,99,1,10/1/2019,11/1/2019,0
137501168,36,30,180,180,0,7/31/2019,8/30/2019,0
106712480,40,30,149,149,1,7/23/2018,7/21/2018,1
30378845,41,30,149,149,1,5/9/2019,6/10/2019,0
169503256,41,30,149,149,1,12/16/2018,1/16/2019,0
44277048,41,30,149,149,1,6/10/2019,7/10/2019,0
37964902,39,30,149,149,1,8/7/2019,9/27/2019,1
158034995,40,31,149,149,1,4/14/2018,5/14/2018,0
18255,41,30,99,99,1,1/27/2020,2/27/2020,0
209397048,41,30,99,99,1,1/1/2020,2/1/2020,0
81536248,38,30,149,149,0,2/20/2019,3/21/2019,0
37438044,40,30,149,149,1,7/30/2018,8/31/2018,0
28315354,41,30,99,99,1,8/3/2019,9/3/2019,0
38566100,41,0,0,119,1,4/30/2018,5/31/2018,0
17450,41,30,99,99,1,10/31/2018,11/30/2018,0
191351954,41,30,99,99,1,1/4/2020,2/4/2020,0
31971407,41,30,99,99,1,1/18/2020,2/18/2020,0
239636880,36,30,180,180,0,12/24/2019,1/23/2020,0
184081718,31,30,149,149,1,7/1/2018,7/31/2018,0
88436683,41,30,149,149,1,4/8/2018,5/8/2018,0
87119197,41,30,129,129,1,6/30/2019,8/1/2019,0
37870646,40,30,149,149,1,12/6/2018,1/9/2019,0
502337904,41,30,99,99,1,8/12/2019,9/12/2019,0
138013301,41,30,99,99,1,1/18/2020,2/18/2020,0
48702705,41,30,149,149,1,7/9/2018,7/9/2018,1
154096022,40,30,149,149,1,12/17/2018,1/16/2019,0
191918684,40,30,149,149,1,10/28/2019,12/4/2019,0
63564963,41,30,149,149,1,4/6/2018,5/7/2018,0
89597647,40,31,149,149,1,4/12/2018,5/11/2018,0
122331081,41,30,99,99,1,9/23/2019,10/23/2019,0
